"","X.1","X","status","bed","bath","acre_lot","city","state","house_size","house_price","size_level"
"1",1,1,"for_sale",2,1,0.34,"Agawam","Massachusetts",676,180,"<1000"
"2",2,2,"for_sale",3,1,0.46,"Agawam","Massachusetts",1196,239.9,"1000-2000"
"3",3,3,"for_sale",3,3,0.45,"Agawam","Massachusetts",2314,525,"2000-3000"
"4",4,4,"for_sale",3,2,0.36,"Agawam","Massachusetts",1276,289.9,"1000-2000"
"5",5,5,"for_sale",4,2,0.11,"Agawam","Massachusetts",1732,275,"1000-2000"
"6",6,6,"for_sale",6,2,0.24,"Agawam","Massachusetts",1800,335,"1000-2000"
"7",7,7,"for_sale",3,2,0.46,"Agawam","Massachusetts",1476,384.9,"1000-2000"
"8",8,8,"for_sale",4,3,1.63,"Agawam","Massachusetts",2910,779.9,"2000-3000"
"9",9,9,"for_sale",3,2,1.76,"Agawam","Massachusetts",1968,199.999,"1000-2000"
"10",10,10,"for_sale",4,2,2,"Pelham","Massachusetts",1607,419,"1000-2000"
"11",11,11,"for_sale",4,3,0.56,"Amherst","Massachusetts",2847,745,"2000-3000"
"12",12,12,"for_sale",4,4,1.5,"Pelham","Massachusetts",4366,875,"4000-5000"
"13",13,13,"for_sale",4,4,0.77,"Amherst","Massachusetts",3879,699.9,"3000-4000"
"14",14,14,"for_sale",3,2,0.16,"Amherst","Massachusetts",1280,275,"1000-2000"
"15",15,15,"for_sale",6,5,0.39,"Amherst","Massachusetts",3246,880,"3000-4000"
"16",16,16,"for_sale",3,1,1.39,"Amherst","Massachusetts",1748,425,"1000-2000"
"17",17,17,"for_sale",4,2,0.49,"Amherst","Massachusetts",1814,415,"1000-2000"
"18",18,18,"for_sale",3,2,0.5,"Amherst","Massachusetts",1128,390,"1000-2000"
"19",19,19,"for_sale",4,3,0.65,"Amherst","Massachusetts",3465,865,"3000-4000"
"20",20,20,"for_sale",4,3,0.46,"Amherst","Massachusetts",2143,499.9,"2000-3000"
"21",21,21,"for_sale",5,4,0.64,"Amherst","Massachusetts",2363,650,"2000-3000"
"22",22,22,"for_sale",4,3,0.25,"Amherst","Massachusetts",1764,449.9,"1000-2000"
"23",23,24,"for_sale",3,2,0.2,"Amherst","Massachusetts",1349,439.9,"1000-2000"
